Time,heading
263.75000393,-1.3978339433670044
263.80000393,-1.3932362794876099
263.80000393,-1.3902746438980103
263.900003932,-1.387924313545227
263.900003932,-1.3861430883407593
263.950003933,-1.3851336240768433
264.000003933,-1.3850902318954468
264.100003935,-1.3858414888381958
264.100003935,-1.3870528936386108
264.200003936,-1.3885403871536255
264.200003936,-1.390105128288269
264.300003938,-1.3916765451431274
264.350003939,-1.3948508501052856
264.400003939,-1.3984769582748413
264.45000394,-1.4026542901992798
264.500003941,-1.4127856492996216
264.550003942,-1.4335044622421265
264.600003942,-1.465152382850647
264.650003943,-1.5059620141983032
264.700003944,-1.5505191087722778
264.750003945,-1.5964585542678833
264.750003945,-1.643661379814148
264.850003946,-1.6932562589645386
264.900003947,-1.7452911138534546
264.950003948,-1.7989693880081177
265.000003948,-1.8555117845535278
265.000003948,-1.9177690744400024
265.10000395,-1.9859310388565063
265.150003951,-2.0574262142181396
265.200003951,-2.1298751831054688
265.250003952,-2.2002062797546387
265.300003953,-2.263015031814575
265.350003954,-2.320425033569336
265.400003954,-2.378704786300659
265.450003955,-2.4360616207122803
265.500003956,-2.4921772480010986
265.500003956,-2.544335126876831
265.600003957,-2.5915896892547607
265.650003958,-2.6332309246063232
265.700003959,-2.6717612743377686
265.750003959,-2.7061336040496826
265.80000396,-2.740656614303589
265.80000396,-2.773193597793579
265.900003962,-2.8056976795196533
265.950003962,-2.841386556625366
266.000003963,-2.8762423992156982
266.050003964,-2.904784917831421
266.100003965,-2.930272340774536
266.150003965,-2.954606294631958
266.200003966,-2.9770429134368896
266.200003966,-2.9980218410491943
266.300003968,-3.0162527561187744
266.350003968,-3.0313608646392822
266.400003969,-3.044626474380493
266.45000397,-3.0565145015716553
266.500003971,-3.06695818901062
266.550003971,-3.0747125148773193
266.550003971,-3.0804555416107178
266.650003973,-3.0840537548065186
266.650003973,-3.084556818008423
266.700003974,-3.082751989364624
266.800003975,-3.079836130142212
266.850003976,-3.0759193897247314
266.900003977,-3.071497678756714
266.950003977,-3.0662505626678467
266.950003977,-3.060192346572876
267.050003979,-3.0532548427581787
267.10000398,-3.0461013317108154
267.10000398,-3.038923978805542
267.200003981,-3.031597852706909
267.250003982,-3.0243799686431885
267.300003983,-3.0167577266693115
267.350003983,-3.009199857711792
267.400003984,-3.001967668533325
267.450003985,-2.99481463432312
267.500003986,-2.987704038619995
267.500003986,-2.981003522872925
267.600003987,-2.9750406742095947
267.650003988,-2.969468355178833
267.700003989,-2.9639346599578857
267.750003989,-2.9586918354034424
267.80000399,-2.9536216259002686
267.850003991,-2.9485042095184326
267.900003992,-2.9434125423431396
267.950003992,-2.939483880996704
267.950003992,-2.9360721111297607
268.000003993,-2.9329469203948975
268.100003995,-2.930030107498169
268.150003995,-2.9269368648529053
268.200003996,-2.923833131790161
268.200003996,-2.9209091663360596
268.300003997,-2.9181578159332275
268.350003998,-2.915422201156616
268.400003999,-2.9126970767974854
268.450004,-2.9101946353912354
268.450004,-2.9090592861175537
268.550004001,-2.908073663711548
268.600004002,-2.9066379070281982
268.600004002,-2.9051902294158936
268.700004003,-2.903507947921753
268.700004003,-2.901655435562134
268.800004005,-2.8997437953948975
268.850004006,-2.8980233669281006
268.900004006,-2.896569013595581
268.950004007,-2.8947293758392334
269.000004008,-2.892359972000122
269.050004009,-2.889643430709839
269.100004009,-2.886669397354126
269.15000401,-2.8835232257843018
269.15000401,-2.880265474319458
269.250004012,-2.8772265911102295
269.300004012,-2.8742892742156982
269.300004012,-2.871251344680786
269.400004014,-2.8677260875701904
269.450004015,-2.8639466762542725
269.500004015,-2.8605096340179443
269.500004015,-2.857405424118042
269.600004017,-2.854717493057251
269.650004018,-2.8524062633514404
269.700004018,-2.8494746685028076
269.700004018,-2.8457257747650146
269.80000402,-2.8415234088897705
269.850004021,-2.837463140487671
269.900004021,-2.834149122238159
269.900004021,-2.8311121463775635
269.950004022,-2.8280117511749268
270.000004023,-2.825216054916382
270.050004024,-2.8222529888153076
270.150004025,-2.8189165592193604
270.200004026,-2.816333532333374
270.200004026,-2.813866376876831
270.300004027,-2.810936689376831
270.350004028,-2.80771803855896
270.350004028,-2.804353952407837
270.45000403,-2.80084490776062
