Time,pos x,pos y,pos z,vel,heading,ang vel z,lin acc x,lin acc y
94.900001414,-704.349609375,-3593.211181640625,364.2911682128906,-0.02707903552800417,-135.45372009277344,0.00972900353372097,0.02344362437725067,-0.02043290063738823
94.900001414,-704.349365234375,-3593.2109375,364.2899475097656,-0.020391161553561687,-135.45236206054688,0.007016688119620085,0.025067878887057304,-0.024860380217432976
94.950001414,-704.349365234375,-3593.2109375,364.2899475097656,-0.020391161553561687,-135.45236206054688,0.007016688119620085,0.025067878887057304,-0.024860380217432976
94.950001414,-704.349365234375,-3593.2109375,364.2899475097656,-0.020391161553561687,-135.45236206054688,0.007016688119620085,0.025067878887057304,-0.024860380217432976
95.000001415,-704.3493041992188,-3593.21044921875,364.2889404296875,-0.015942289493978024,-135.45127868652344,0.005074606742709875,0.016171634197235107,-0.017856881022453308
95.000001415,-704.3493041992188,-3593.21044921875,364.2889404296875,-0.015942289493978024,-135.45127868652344,0.005074606742709875,0.016171634197235107,-0.017856881022453308
95.000001415,-704.3493041992188,-3593.21044921875,364.2889404296875,-0.015942289493978024,-135.45127868652344,0.005074606742709875,0.016171634197235107,-0.017856881022453308
95.050001416,-704.34912109375,-3593.210205078125,364.2882080078125,-0.01186460629105568,-135.45042419433594,0.0027644922956824303,0.011288747191429138,-0.01350443810224533
95.050001416,-704.34912109375,-3593.210205078125,364.2882080078125,-0.01186460629105568,-135.45042419433594,0.0027644922956824303,0.011288747191429138,-0.01350443810224533
95.050001416,-704.34912109375,-3593.210205078125,364.2882080078125,-0.01186460629105568,-135.45042419433594,0.0027644922956824303,0.011288747191429138,-0.01350443810224533
95.100001417,-704.3489990234375,-3593.210205078125,364.28759765625,-0.008325606817379594,-135.44985961914062,0.0005209853406995535,0.010283221490681171,-0.014222217723727226
95.100001417,-704.3489990234375,-3593.210205078125,364.28759765625,-0.008325606817379594,-135.44985961914062,0.0005209853406995535,0.010283221490681171,-0.014222217723727226
95.100001417,-704.3489990234375,-3593.210205078125,364.28759765625,-0.008325606817379594,-135.44985961914062,0.0005209853406995535,0.010283221490681171,-0.014222217723727226
95.150001417,-704.349609375,-3593.208984375,364.28717041015625,-0.1231512175872922,-135.43270874023438,2.1777939796447754,-0.6915882229804993,-1.6196062564849854
95.150001417,-704.349609375,-3593.208984375,364.28717041015625,-0.1231512175872922,-135.43270874023438,2.1777939796447754,-0.6915882229804993,-1.6196062564849854
95.150001417,-704.349609375,-3593.208984375,364.28717041015625,-0.1231512175872922,-135.43270874023438,2.1777939796447754,-0.6915882229804993,-1.6196062564849854
95.200001418,-704.350830078125,-3593.2060546875,364.2867126464844,-0.05364584270864725,-135.4053192138672,-0.5890732407569885,0.31232333183288574,1.0370349884033203
95.200001418,-704.350830078125,-3593.2060546875,364.2867126464844,-0.05364584270864725,-135.4053192138672,-0.5890732407569885,0.31232333183288574,1.0370349884033203
95.200001418,-704.350830078125,-3593.2060546875,364.2867126464844,-0.05364584270864725,-135.4053192138672,-0.5890732407569885,0.31232333183288574,1.0370349884033203
